id,productName,productDescription,productPrice,productType
1,Zoolab,Zoolab_2.0.5,0.47,Service
2,Vagram,Vagram_2.3,0.64,Software
3,Cookley,Cookley_0.7.9,1.22,Hardware
4,Fixflex,Fixflex_4.6,8.62,Software
5,Solarbreeze,Solarbreeze_0.50,8.25,Software
6,Lotstring,Lotstring_7.9.2,7.19,Service
7,Cookley,Cookley_2.2,1.15,Service
8,Asoka,Asoka_6.0,3.17,Service
9,Quo Lux,Quo Lux_1.7,5.5,Software
10,Konklux,Konklux_6.9,3.46,Service
11,Holdlamis,Holdlamis_6.0.7,3.88,Hardware
12,Home Ing,Home Ing_2.5,4.11,Software
13,Stronghold,Stronghold_0.15,8.34,Service
14,Rank,Rank_0.6.4,9.9,Hardware
15,Ronstring,Ronstring_1.08,4.63,Hardware
16,Temp,Temp_6.63,6.25,Service
17,Kanlam,Kanlam_6.7.5,4.37,Hardware
18,Zamit,Zamit_9.4.1,1.96,Software
19,Ronstring,Ronstring_0.8.7,5.27,Hardware
20,Zoolab,Zoolab_0.6.1,4.05,Hardware
21,Sonsing,Sonsing_6.0,3.28,Software
22,Holdlamis,Holdlamis_7.0,5.87,Software
23,Stringtough,Stringtough_0.74,7.07,Service
24,Vagram,Vagram_1.0.8,8.04,Hardware
25,Trippledex,Trippledex_0.6.7,8.46,Hardware
26,Tempsoft,Tempsoft_0.7.1,5.58,Hardware
27,Job,Job_0.5.2,4.58,Software
28,Bytecard,Bytecard_8.9,9.45,Software
29,Keylex,Keylex_8.4.0,9.52,Hardware
30,Flowdesk,Flowdesk_8.04,0.47,Hardware
31,Voyatouch,Voyatouch_0.19,1.89,Software
32,Domainer,Domainer_9.0,4.49,Software
33,Transcof,Transcof_4.69,3.73,Hardware
34,Alpha,Alpha_0.76,6.22,Software
35,Zaam-Dox,Zaam-Dox_6.4,3.73,Software
36,Andalax,Andalax_2.6.8,0.92,Service
37,Cardguard,Cardguard_0.62,8.46,Service
38,Keylex,Keylex_0.2.8,7.03,Hardware
39,Latlux,Latlux_2.07,3.17,Service
40,Asoka,Asoka_4.1,5.08,Service
41,Bigtax,Bigtax_6.68,5.21,Software
42,Bigtax,Bigtax_0.33,9.34,Service
43,Keylex,Keylex_0.3.6,2.6,Software
44,Pannier,Pannier_6.27,7.03,Software
45,Flowdesk,Flowdesk_5.7,9.74,Service
46,Voltsillam,Voltsillam_0.78,7.8,Service
47,Alpha,Alpha_0.3.3,9.96,Hardware
48,Y-Solowarm,Y-Solowarm_0.2.2,8.11,Hardware
49,Tempsoft,Tempsoft_9.68,9.14,Software
50,Subin,Subin_0.18,0.06,Service
51,Domainer,Domainer_8.8.8,1.78,Software
52,Zontrax,Zontrax_7.4,8.1,Service
53,Home Ing,Home Ing_3.47,0.28,Service
54,Tresom,Tresom_4.6.7,9.67,Hardware
55,Matsoft,Matsoft_6.93,0.4,Service
56,Domainer,Domainer_7.55,6.86,Software
57,Voltsillam,Voltsillam_1.84,0.98,Hardware
58,Span,Span_3.70,5.96,Service
59,Lotlux,Lotlux_3.69,1.56,Software
60,Stim,Stim_0.42,3.7,Hardware
61,Stim,Stim_0.27,7.49,Service
62,Bitchip,Bitchip_0.5.9,9.4,Software
63,Lotstring,Lotstring_7.5.8,5.83,Software
64,Cardify,Cardify_0.62,4.05,Hardware
